Dataset,Experiment,Model,CV_Macro_F1,Best_Params,Validation_Selected_Threshold,Validation_Macro_F1_at_Selected_Threshold,Train_Size,Test_Size,Default_Accuracy,Default_Macro_Precision,Default_Macro_Recall,Default_Macro_F1,Default_ROC_AUC,Threshold_Accuracy,Threshold_Macro_Precision,Threshold_Macro_Recall,Threshold_Macro_F1,Threshold_ROC_AUC
Flash Eurobarometer 316 / GESIS ZA5474,FEB316,Logistic Regression,0.6266069860458645,"{""model__C"": 0.1}",0.3,0.6817488549038939,21684,5422,0.7604205090372557,0.6222338514358156,0.7183531681671941,0.6337089121939293,0.7801269321242614,0.8373293987458502,0.6574529563226372,0.683074855773967,0.6683903346632287,0.7801269321242614
Flash Eurobarometer 316 / GESIS ZA5474,FEB316,SVM,0.6258529702127619,"{""model__estimator__C"": 0.1}",0.31,0.6817345028837112,21684,5422,0.7609738104020657,0.6225584760473437,0.7186712343249548,0.6341906646912264,0.7804182675095571,0.8375138325341203,0.6591826446308402,0.6873962305405983,0.6710575634217497,0.7804182675095571
Flash Eurobarometer 316 / GESIS ZA5474,FEB316,Random Forest,0.609323913511037,"{""model__max_depth"": 10, ""model__min_samples_leaf"": 1, ""model__n_estimators"": 200}",0.34,0.6643570677134895,21684,5422,0.7310955367023239,0.6097286948635917,0.7093241739890963,0.6119932455315257,0.7725582190217377,0.8273699741792696,0.6476355748373102,0.6839737906277708,0.6617494625307125,0.7725582190217377
Flash Eurobarometer 316 / GESIS ZA5474,FEB316,XGBoost,0.6091848428374066,"{""model__learning_rate"": 0.05, ""model__max_depth"": 5, ""model__n_estimators"": 150}",0.31,0.6731056447256061,21684,5422,0.717447436370343,0.6092551933076327,0.7159311799743865,0.6061804955016461,0.7826035832450318,0.8303209147915899,0.6552512376893438,0.697111815121568,0.6711794912360499,0.7826035832450318
Flash Eurobarometer 316 / GESIS ZA5474,FEB316,CatBoost,0.6069204377974314,"{""model__depth"": 6, ""model__iterations"": 200, ""model__learning_rate"": 0.05}",0.31,0.6706609561995018,21684,5422,0.7253780892659535,0.611663580647196,0.7174791620113075,0.6115563524560093,0.7816812214221012,0.8305053485798598,0.6554647504307246,0.6972178371741549,0.6713734591564549,0.7816812214221012
Flash Eurobarometer 316 / GESIS ZA5474,FEB316,ANN,0.6022481766549846,"{""model__hidden_layer_sizes"": [64, 32], ""model__learning_rate_init"": 0.001}",0.34,0.6529011604641857,21684,5422,0.7222427148653633,0.6094672373081464,0.713870207382739,0.6083359858267635,0.769708087950849,0.8102176318701586,0.6390452314514529,0.6975992762868615,0.6571255267114492,0.769708087950849
Eurobarometer 68.2 / GESIS ZA4742,EB68.2 Model A,Logistic Regression,0.6843153623904341,"{""model__C"": 0.1}",0.46,0.6829899715130245,21384,5346,0.6827534605312383,0.6795423337479412,0.6804944575204979,0.6798856645746598,0.7434810416737185,0.6831275720164609,0.6792525347251581,0.6750408486029049,0.676053498517078,0.7434810416737185
Eurobarometer 68.2 / GESIS ZA4742,EB68.2 Model A,SVM,0.679132055105472,"{""model__estimator__C"": 0.1}",0.55,0.6818738957825832,21384,5346,0.6829405162738497,0.6797329702774482,0.6729828041438193,0.6740895184087071,0.74379205331272,0.6821922933034044,0.6787055754441044,0.6792899955515138,0.6789529321456487,0.74379205331272
Eurobarometer 68.2 / GESIS ZA4742,EB68.2 Model A,Random Forest,0.6856709914157992,"{""model__max_depth"": 10, ""model__min_samples_leaf"": 5, ""model__n_estimators"": 200}",0.46,0.687852562905227,21384,5346,0.690048634493079,0.6870075115573249,0.6881434885337119,0.6873901224868825,0.7516926836777948,0.6934156378600823,0.6899606264917507,0.6853077025374783,0.6864466422685503,0.7516926836777948
Eurobarometer 68.2 / GESIS ZA4742,EB68.2 Model A,XGBoost,0.6869395893684602,"{""model__learning_rate"": 0.05, ""model__max_depth"": 5, ""model__n_estimators"": 150}",0.5,0.6876147746243739,21384,5346,0.6928544706322484,0.6900089489630141,0.6832818072778706,0.6845382058090959,0.7519088056090866,0.6928544706322484,0.6900089489630141,0.6832818072778706,0.6845382058090959,0.7519088056090866
