rank,feature_name,mean_abs_shap
1,wealth_index,0.06524605682389042
2,green_behavior_score,0.060947772803371075
3,env_importance,0.024603612332330212
4,age_group,0.023171132239810124
5,area_type,0.012300595379683036
6,gender,0.012051967733846826
7,eco_purchase,0.010972806900423583
8,household_size,0.009442789826650954
9,d3_edu,0.008146645845980337
10,occupation_group=manager,0.007861242052086388
11,occupation_group=retired,0.004824605500232168
12,occupation_group=student,0.004300972075950116
13,occupation_group=not_working,0.0035875947437376235
14,occupation_group=manual_worker,0.0013143020264766217
15,occupation_group=self_employed,0.0012997509834914904
16,occupation_group=employee,0.0008788800579528201
17,occupation_group=professional,0.0005221431573389021
